Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
43, 6, 5, -9.3906, 5.1953, 0, 0, 39, 16, 
43, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
44, 6, 1, -0.0547, 0.4336, 0, 0, 6564, 38, 
44, 6, 2, -0.3945, 2.5, 0, 0, 446, 27, 
44, 6, 3, 1.0059, 10.6855, 0, 0, 44, 17, 
44, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
44, 6, 5, -9.3906, 5.1953, 0, 0, 38, 16, 
44, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
45, 6, 1, -0.0547, 0.4336, 0, 0, 6502, 38, 
45, 6, 2, -0.3945, 2.5, 0, 0, 451, 27, 
45, 6, 3, 1.0059, 10.6855, 0, 0, 43, 16, 
45, 6, 4, -10.4297, 3.8711, 0, 0, 44, 17, 
45, 6, 5, -9.3906, 5.1953, 0, 0, 38, 16, 
45, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
46, 6, 1, -0.0547, 0.4336, 0, 0, 6311, 38, 
46, 6, 2, -0.4746, 2.4863, 0, 0, 419, 26, 
46, 6, 3, 1.0059, 10.6855, 0, 0, 44, 17, 
46, 6, 4, -10.7773, 2.7598, 0, 0, 45, 17, 
46, 6, 5, -9.3906, 5.1953, 0, 0, 36, 16, 
46, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
47, 6, 1, -0.0547, 0.4336, 0, 0, 6287, 38, 
47, 6, 2, -0.4746, 2.4863, 0, 0, 410, 26, 
47, 6, 3, 1.0059, 10.6855, 0, 0, 44, 17, 
47, 6, 4, -0.6953, 11.1035, 0, 0, 46, 17, 
47, 6, 5, -9.3906, 5.1953, 0, 0, 37, 16, 
47, 6, 6, -10.7773, 2.7598, 0, 0, 45, 17, 
48, 6, 1, -0.0547, 0.4336, 0, 0, 6183, 38, 
48, 6, 2, -0.4746, 2.4863, 0, 0, 391, 26, 
48, 6, 3, 1.0059, 10.6855, 0, 0, 43, 16, 
48, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
48, 6, 5, -9.7266, 4.5371, 0, 0, 35, 16, 
48, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
49, 6, 1, -0.0547, 0.4336, 0, 0, 6213, 38, 
49, 6, 2, -0.4746, 2.4863, 0, 0, 388, 26, 
49, 6, 3, 1.0059, 10.6855, 0, 0, 43, 16, 
49, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
49, 6, 5, -9.3906, 5.1953, 0, 0, 35, 16, 
49, 6, 6, -10.4297, 3.8711, 0, 0, 42, 16, 
50, 6, 1, -0.0547, 0.4336, 0, 0, 6248, 38, 
50, 6, 2, -0.4746, 2.4863, 0, 0, 387, 26, 
50, 6, 3, 1.0059, 10.6855, 0, 0, 43, 16, 
50, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
50, 6, 5, -9.3906, 5.1953, 0, 0, 35, 16, 
50, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
51, 6, 1, -0.0547, 0.4336, 0, 0, 6195, 38, 
51, 6, 2, -0.4746, 2.4863, 0, 0, 383, 26, 
51, 6, 3, 1.0059, 10.6855, 0, 0, 43, 16, 
51, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
51, 6, 5, -9.7266, 4.5371, 0, 0, 35, 16, 
51, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
52, 6, 1, -0.0547, 0.4336, 0, 0, 6161, 38, 
52, 6, 2, -0.4746, 2.4863, 0, 0, 378, 26, 
52, 6, 3, 1.0059, 10.6855, 0, 0, 41, 16, 
52, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
52, 6, 5, -9.7266, 4.5371, 0, 0, 35, 16, 
52, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
53, 6, 1, -0.0547, 0.4336, 0, 0, 6208, 38, 
53, 6, 2, -0.4746, 2.4863, 0, 0, 377, 26, 
53, 6, 3, 1.0059, 10.6855, 0, 0, 39, 16, 
53, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
53, 6, 5, -9.7266, 4.5371, 0, 0, 36, 16, 
53, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
54, 6, 1, -0.0547, 0.4336, 0, 0, 6166, 38, 
54, 6, 2, -0.4746, 2.4863, 0, 0, 402, 26, 
54, 6, 3, 1.0059, 10.6855, 0, 0, 42, 16, 
54, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
54, 6, 5, -9.7266, 4.5371, 0, 0, 35, 16, 
54, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
55, 6, 1, -0.0547, 0.4336, 0, 0, 6109, 38, 
55, 6, 2, -0.4746, 2.4863, 0, 0, 395, 26, 
55, 6, 3, 1.0059, 10.6855, 0, 0, 43, 16, 
55, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
55, 6, 5, -9.7266, 4.5371, 0, 0, 35, 16, 
55, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
56, 6, 1, -0.0547, 0.4336, 0, 0, 6292, 38, 
56, 6, 2, -0.3945, 2.5, 0, 0, 430, 26, 
56, 6, 3, 1.3418, 10.6484, 0, 0, 44, 17, 
56, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
56, 6, 5, -9.3906, 5.1953, 0, 0, 36, 16, 
56, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
57, 6, 1, -0.0547, 0.4336, 0, 0, 6412, 38, 
57, 6, 2, -0.3945, 2.5, 0, 0, 450, 27, 
57, 6, 3, 1.0059, 10.6855, 0, 0, 46, 17, 
57, 6, 4, -10.7773, 2.7598, 0, 0, 43, 16, 
57, 6, 5, -9.3906, 5.1953, 0, 0, 37, 16, 
57, 6, 6, -0.6953, 11.1035, 0, 0, 42, 16, 
58, 6, 1, -0.0547, 0.4336, 0, 0, 6381, 38, 
58, 6, 2, -0.3945, 2.5, 0, 0, 425, 26, 
58, 6, 3, 1.0059, 10.6855, 0, 0, 47, 17, 
58, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
58, 6, 5, -9.3906, 5.1953, 0, 0, 37, 16, 
58, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
59, 6, 1, -0.0547, 0.4336, 0, 0, 6528, 38, 
59, 6, 2, -0.3945, 2.5, 0, 0, 461, 27, 
59, 6, 3, 1.0059, 10.6855, 0, 0, 42, 16, 
59, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
59, 6, 5, -9.3906, 5.1953, 0, 0, 37, 16, 
59, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
60, 6, 1, -0.0547, 0.4336, 0, 0, 6454, 38, 
60, 6, 2, -0.3945, 2.5, 0, 0, 453, 27, 
60, 6, 3, 1.3418, 10.6484, 0, 0, 40, 16, 
60, 6, 4, -10.4297, 3.8711, 0, 0, 44, 17, 
60, 6, 5, -9.3906, 5.1953, 0, 0, 37, 16, 
60, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
61, 6, 1, -0.0547, 0.4336, 0, 0, 6437, 38, 
61, 6, 2, -0.3945, 2.5, 0, 0, 456, 27, 
61, 6, 3, 1.3418, 10.6484, 0, 0, 39, 16, 
61, 6, 4, -10.7773, 2.7598, 0, 0, 46, 17, 
61, 6, 5, -9.3906, 5.1953, 0, 0, 35, 16, 
61, 6, 6, -0.6953, 11.1035, 0, 0, 45, 17, 
62, 6, 1, -0.0547, 0.4336, 0, 0, 6320, 38, 
62, 6, 2, -0.3945, 2.5, 0, 0, 439, 26, 
62, 6, 3, 1.3418, 10.6484, 0, 0, 39, 16, 
62, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
62, 6, 5, -9.3906, 5.1953, 0, 0, 34, 15, 
62, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
63, 6, 1, -0.0547, 0.4336, 0, 0, 6318, 38, 
63, 6, 2, -0.4746, 2.4863, 0, 0, 434, 26, 
63, 6, 3, 1.3418, 10.6484, 0, 0, 37, 16, 
63, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
63, 6, 5, -9.3906, 5.1953, 0, 0, 34, 15, 
63, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
64, 6, 1, -0.0547, 0.4336, 0, 0, 6472, 38, 
64, 6, 2, -0.3945, 2.5, 0, 0, 438, 26, 
64, 6, 3, 1.3418, 10.6484, 0, 0, 37, 16, 
64, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
64, 6, 5, -9.3906, 5.1953, 0, 0, 34, 15, 
64, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
65, 6, 1, -0.0547, 0.4336, 0, 0, 6492, 38, 
65, 6, 2, -0.3945, 2.5, 0, 0, 438, 26, 
65, 6, 3, -9.3906, 5.1953, 0, 0, 34, 15, 
65, 6, 4, -10.7773, 2.7598, 0, 0, 45, 17, 
65, 6, 5, 1.3418, 10.6484, 0, 0, 34, 15, 
65, 6, 6, -0.6953, 11.1035, 0, 0, 42, 16, 
66, 6, 1, -0.0547, 0.4336, 0, 0, 6527, 38, 
66, 6, 2, -0.3945, 2.5, 0, 0, 443, 26, 
66, 6, 3, -9.3906, 5.1953, 0, 0, 35, 16, 
66, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
66, 6, 5, 1.3418, 10.6484, 0, 0, 33, 15, 
66, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
67, 6, 1, -0.0547, 0.4336, 0, 0, 6523, 38, 
