Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log),
39, 5, 5, 4.3281, 3.459, 0, 0, 22, 14, 
40, 5, 1, 0.5391, 0.793, 0, 0, 367, 26, 
40, 5, 2, -0.0762, 2.4414, 0, 0, 172, 22, 
40, 5, 3, 1.9629, 2.4512, 0, 0, 296, 25, 
40, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
40, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
41, 5, 1, 0.5391, 0.793, 0, 0, 368, 26, 
41, 5, 2, -0.0762, 2.4414, 0, 0, 169, 22, 
41, 5, 3, 1.9629, 2.4512, 0, 0, 295, 25, 
41, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
41, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
42, 5, 1, 0.5391, 0.793, 0, 0, 363, 26, 
42, 5, 2, -0.0762, 2.4414, 0, 0, 167, 22, 
42, 5, 3, 1.9629, 2.4512, 0, 0, 293, 25, 
42, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
42, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
43, 5, 1, 0.5391, 0.793, 0, 0, 366, 26, 
43, 5, 2, -0.0762, 2.4414, 0, 0, 163, 22, 
43, 5, 3, 1.9629, 2.4512, 0, 0, 294, 25, 
43, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
43, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
44, 5, 1, 0.5391, 0.793, 0, 0, 359, 26, 
44, 5, 2, -0.0762, 2.4414, 0, 0, 143, 22, 
44, 5, 3, 1.9629, 2.4512, 0, 0, 283, 25, 
44, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
44, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
45, 5, 1, 0.5391, 0.793, 0, 0, 354, 26, 
45, 5, 2, -0.0762, 2.4414, 0, 0, 144, 22, 
45, 5, 3, 1.9629, 2.4512, 0, 0, 279, 24, 
45, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
45, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
46, 5, 1, 0.5391, 0.793, 0, 0, 335, 25, 
46, 5, 2, -0.0762, 2.4414, 0, 0, 134, 21, 
46, 5, 3, 1.9629, 2.4512, 0, 0, 266, 24, 
46, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
46, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
47, 5, 1, 0.5391, 0.793, 0, 0, 332, 25, 
47, 5, 2, -0.1504, 2.3945, 0, 0, 146, 22, 
47, 5, 3, 1.9629, 2.4512, 0, 0, 260, 24, 
47, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
47, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
48, 6, 1, 0.5391, 0.793, 0, 0, 310, 25, 
48, 6, 2, -0.2246, 2.3887, 0, 0, 108, 20, 
48, 6, 3, 1.9629, 2.4512, 0, 0, 254, 24, 
48, 6, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
48, 6, 5, -0.9746, 2.1914, 0, 0, 86, 19, 
48, 6, 6, 4.3281, 3.459, 0, 0, 21, 13, 
49, 5, 1, -0.2246, 2.3887, 0, 0, 114, 21, 
49, 5, 2, 1.9629, 2.4512, 0, 0, 254, 24, 
49, 5, 3, -0.5195, 5.5156, 0, 0, 22, 14, 
49, 5, 4, -0.9746, 2.1914, 0, 0, 85, 19, 
49, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
50, 4, 1, -0.2246, 2.3887, 0, 0, 129, 21, 
50, 4, 2, 1.9629, 2.4512, 0, 0, 256, 24, 
50, 4, 3, 4.3281, 3.459, 0, 0, 21, 13, 
50, 4, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
51, 6, 1, 0.5391, 0.793, 0, 0, 303, 25, 
51, 6, 2, -0.2246, 2.3887, 0, 0, 108, 20, 
51, 6, 3, 1.9629, 2.4512, 0, 0, 252, 24, 
51, 6, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
51, 6, 5, -0.9746, 2.1914, 0, 0, 83, 19, 
51, 6, 6, 4.3281, 3.459, 0, 0, 21, 13, 
52, 6, 1, 0.5391, 0.793, 0, 0, 289, 25, 
52, 6, 2, -0.1504, 2.3945, 0, 0, 98, 20, 
52, 6, 3, 1.9629, 2.4512, 0, 0, 239, 24, 
52, 6, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
52, 6, 5, -0.9746, 2.1914, 0, 0, 76, 19, 
52, 6, 6, 4.3281, 3.459, 0, 0, 21, 13, 
53, 6, 1, 0.5391, 0.793, 0, 0, 280, 24, 
53, 6, 2, -0.1504, 2.3945, 0, 0, 112, 21, 
53, 6, 3, 2.0605, 2.3691, 0, 0, 242, 24, 
53, 6, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
53, 6, 5, -0.9746, 2.1914, 0, 0, 84, 19, 
